house,house_area,house_room,total_price,unit_price
前海花园 ,68.09,2室1厅,450.0,66089.0
万科公园里二期 ,88.57,3室2厅,418.0,47195.0
里仁府 ,86.54,3室2厅,440.0,50844.0
招商果岭花园 ,70.64,2室2厅,387.0,54785.0
桃源村三期 ,89.19,3室2厅,482.0,54042.0
中信湾上六座 ,87.61,3室1厅,550.0,62779.0
招商果岭花园 ,87.95,3室2厅,520.0,59125.0
泰华阳光海小区 ,115.8,4室2厅,790.0,68222.0
富通好旺角二期 ,89.37,3室2厅,562.0,62885.0
中兆花园 ,67.61,3室1厅,260.0,38456.0
益田村 ,105.43,3室2厅,600.0,56910.0
信义假日名城三期菁华园 ,64.24,2室1厅,300.0,46700.0
锦绣江南四期 ,93.6,3室2厅,438.0,46795.0
新洲大厦 ,108.81,3室1厅,450.0,41357.0
松坪村西区三期 ,49.02,2室1厅,325.0,66300.0
京基御景华城 ,45.72,2室1厅,265.0,57962.0
桃源村三期 ,88.41,3室2厅,520.0,58817.0
弘雅花园雅豪轩三期 ,120.66,3室2厅,660.0,54700.0
梅林一村八区 ,92.39,3室2厅,710.0,76849.0
新锦安雅园 ,115.2,3室2厅,617.0,53560.0
新洲大厦 ,108.81,4室1厅,430.0,39519.0
波托菲诺纯水岸九期 ,245.55,5室2厅,3000.0,122175.0
富通好旺角一期 ,76.91,2室1厅,470.0,61111.0
信义假日名城五期B山翠居 ,67.12,2室1厅,308.0,45888.0
名骏豪庭 ,69.8,3室1厅,345.0,49427.0
国展苑 ,56.16,2室1厅,218.0,38818.0
万科翰邻城 ,88.58,4室2厅,470.0,53060.0
新天地名居 ,38.31,1室1厅,204.0,53250.0
桃源居三区 ,57.13,1室1厅,240.0,42010.0
欧景花园一期 ,78.74,3室2厅,329.0,41784.0
